class,area
3,156
3,1444
3,7212
3,1444
3,469
3,3618
3,3618
3,325
3,144
3,6262
3,3282
3,1694
3,600
3,4231
3,3282
3,4231
3,1406
3,1406
3,1406
3,6288
3,1588
3,1369
3,1369
3,3400
3,2045
3,144
3,1406
3,5262
3,2813
3,1369
3,1862
3,144
3,169
3,1406
3,4350
3,156
3,4281
3,144
3,144
3,781
3,1731
3,1718
3,2174
3,613
3,169
3,1588
3,1406
3,9688
3,1550
3,156
3,469
3,1406
3,457
3,3293
3,1394
3,156
3,1718
3,2188
3,1562
3,156
3,625
3,2030
3,156
3,169
3,1888
3,469
3,169
3,5481
3,781
3,938
3,1575
3,1706
3,469
